Year;Month;Number_of_hours;Mean
2003;2;903624;26.149318688659
2003;3;904296;26.1604417820263
2003;4;905040;25.9241882235423
2003;5;905760;25.5383880583256
2003;6;906504;24.385277799804
2003;7;907224;23.9658851027067
2003;8;907968;23.9200307020168
2003;9;908712;24.3096288348008
2003;10;909432;24.8533749306952
2003;11;910176;24.9488551113857
2003;12;910896;25.2121127294577
2004;1;911640;25.6943716697935
2004;2;912384;25.905119068824
2004;3;913080;26.2889764590319
2004;4;913824;25.682653821961
2004;5;914544;25.4729065974142
2004;6;915288;24.2908667683399
2004;7;916008;23.7571154953785
2004;8;916752;23.697371804696
2004;9;917496;24.2352935251211
2004;10;918216;24.6257123921939
2004;11;918960;24.8022825619987
2004;12;919680;25.2194607789768
2005;1;920424;25.8932326115412
2005;2;921168;26.6058944723715
2005;3;921840;26.3753059634021
2005;4;922584;26.2281820639628
2005;5;923304;25.3477680510609
2005;6;924048;24.1800257007594
2005;7;924768;23.6442112523678
2005;8;925512;23.6859552632949
2005;9;926256;24.2715066086128
2005;10;926976;24.626100426017
2005;11;927720;25.0101526881952
2005;12;928440;25.2594068862845
2006;1;929184;25.5060274218613
2006;2;929928;26.0018583439438
2006;3;930600;26.1234431030906
2006;4;931344;25.811692169312
2006;5;932064;25.4000225260895
2006;6;932808;25.0170979643062
2006;7;933528;24.1345603925367
2006;8;934272;23.7657966222708
2006;9;935016;24.1190249107847
2006;10;935736;24.799220270729
2006;11;936480;24.6638052206463
2006;12;937200;25.0322431727954
2007;1;937944;25.8418039197199
2007;2;938688;26.0870786741928
2007;3;939360;26.2200888917824
2007;4;940104;26.0397954702619
2007;5;940824;25.7663629375884
2007;6;941568;24.757691083144
2007;7;942288;24.0255802586235
2007;8;943032;23.7140273320309
2007;9;943776;24.201256403386
2007;10;944496;24.4773167760288
2007;11;945240;24.7741822763226
2007;12;945960;24.9846576037889
2008;1;946704;25.2637100307293
2008;2;947448;25.7588618325457
2008;3;948144;25.780250802483
2008;4;948888;25.6580903851839
